BCCefflatcnt_composition_average,NValance_composition_average,IonicRadii_composition_average,Number_composition_average,AtomicWeight_composition_average,AtomicNumber_composition_average,HeatCapacityMolar_composition_average,BCCvolume_pa_composition_average,n_ws^third_composition_average,AtomicWeight_max_value,Number_max_value,AtomicNumber_max_value,AtomicVolume_composition_average,AtomicWeight_arithmetic_average,GSvolume_pa_composition_average,ICSDVolume_composition_average,BCCvolume_pa_arithmetic_average,CovalentRadius_difference,NdValence_arithmetic_average,BCCfermi_composition_average,NdValence_max_value,BCCfermi_arithmetic_average,AtomicVolume_difference,BCCvolume_pa_max_value,NUnfilled_min_value
7.140036982000001,4.0,0.84,40.0,91.22399999999999,40.0,25.36,22.75,1.41,91.22399999999999,40.0,40.0,23.2659432691915,91.22399999999999,23.195,23.2,22.75,0.0,2.0,4.22805065,2.0,4.22805065,0.0,22.75,8.0
7.891545761500001,5.4,0.8749999999999999,24.8,55.585159999999995,24.8,26.451500000000006,33.429,1.087,118.71,50.0,50.0,34.87075506304831,60.70443333333333,36.05183333334,34.92,40.06999999999999,64.0,3.333333333333333,4.747576062,10.0,4.360974523333333,52.62557158745121,72.1,4.0
7.4669056727999985,5.2,0.8879999999999999,45.2,108.70902199999999,45.2,23.3174,28.688000000000002,1.2959999999999998,138.90547,57.0,57.0,29.499937246417947,88.57805666666668,28.1185,28.78,22.83333333333333,131.0,3.666666666666667,8.079841874,10.0,8.283101356666666,28.70555640351138,37.47,4.0
5.873446177111112,5.222222222222221,0.5066666666666667,25.0,56.316290644444436,25.0,21.223777777777773,13.18,1.6655555555555557,101.07,44.0,44.0,13.183367302255508,46.28751286666667,13.091666666666665,13.466666666666667,12.313333333333334,62.0,2.333333333333333,8.761395028888888,7.0,8.927986883333334,9.296657252225161,16.92,4.0
7.344032058,22.0,1.02,76.0,189.698963,76.0,25.756,25.32333333333333,1.3133333333333332,207.2,82.0,82.0,26.142955513328232,189.698963,25.1811111111,26.1,25.32333333333333,56.0,6.666666666666668,5.81445785,10.0,5.81445785,14.1933162942844,31.32,1.0
6.987619504,10.666666666666668,1.0466666666666666,24.0,56.42993546666666,24.0,27.798,31.185,0.0,131.293,54.0,54.0,24718.713719665768,75.1457016,24.355,30.2,42.5625,83.0,5.0,-0.22946762,10.0,0.449279805,18351.3154570115,76.695,0.0
6.843827932666668,8.0,0.5366666666666666,32.666666666666664,75.54333333333331,32.666666666666664,24.52,20.816666666666666,0.4066666666666667,162.5,66.0,66.0,28.63003047829273,97.2825,27.60458333333333,27.666666666666664,23.415,87.0,0.0,6.296295123333333,0.0,5.56164967,4.390454050864598,31.21,2.0
7.227600616714286,11.285714285714285,0.8285714285714285,47.28571428571429,112.73130571428571,47.28571428571429,25.24571428571429,23.962857142857146,0.7028571428571428,127.6,52.0,52.0,27.119021975877033,110.25319,27.65619047617143,27.128571428571423,23.24,26.0,7.0,6.648160424285715,10.0,6.42986813,15.954555742230394,28.3,2.0
10.049827106,6.0,1.3966666666666667,42.0,99.51186666666666,42.0,29.28333333333333,68.52666666666667,0.4,127.6,52.0,52.0,73.0795308041662,106.5339,72.06944444443333,73.3,58.47,82.0,5.0,2.7132271566666666,10.0,4.024398915,58.684263122428504,88.64,1.0
7.715273480666668,13.666666666666664,0.9,55.66666666666667,134.14845,55.66666666666667,26.45666666666667,28.766666666666666,1.2466666666666666,158.92535,65.0,65.0,30.830779880987066,140.342675,31.6188888889,30.766666666666666,29.605,55.0,5.0,6.715161993333334,10.0,5.87816208,1.918069311593904,32.12,3.0
6.291454498166669,11.333333333333336,0.6716666666666666,50.33333333333334,118.43166666666669,50.33333333333334,25.938333333333336,15.703333333333335,1.6333333333333333,178.49,72.0,72.0,15.960107089543216,142.455,15.708333333333332,15.983333333333333,18.17,36.0,6.0,5.111269411666667,10.0,4.9598298750000005,7.5703249258771015,21.87,0.0
5.8938165424,10.0,1.2459999999999998,29.2,69.28444,29.2,27.6388,14.532,0.512,207.2,82.0,82.0,11166.039773150027,104.8078,15.724,21.08,19.33333333333333,109.0,4.0,4.350430898,10.0,5.20169583,18568.93122322021,27.92,2.0
6.64086331775,11.5,0.6725,32.0,73.19243465,32.0,25.069000000000003,18.365,0.6875,107.8682,47.0,47.0,22.02192042976397,71.26991286666666,21.1625,23.3,17.763333333333332,25.0,6.666666666666668,5.7600885900000005,10.0,5.809531263333334,10.6143801083177,20.17,1.0
7.239432343666668,12.0,0.86,54.0,129.03511666666668,54.0,26.70666666666667,24.559999999999995,1.3833333333333333,158.92535,65.0,65.0,25.666434155911933,129.03511666666668,25.90222222223333,25.6,24.559999999999995,55.0,6.666666666666668,5.6477711133333335,10.0,5.6477711133333335,17.4111064868193,32.12,3.0
7.041603963666668,9.333333333333332,0.84,39.333333333333336,91.33615666666668,39.333333333333336,26.17666666666667,23.19,1.27,138.90547,57.0,57.0,24.115614445562674,91.33615666666668,23.23833333333333,24.03333333333333,23.19,85.0,7.0,5.213294220000001,10.0,5.213294220000001,22.324962384000603,37.47,0.0
6.466671627333334,10.666666666666666,0.6733333333333333,32.0,71.61826666666667,32.0,24.23,16.94333333333333,0.9333333333333332,107.8682,47.0,47.0,21.98871982724667,71.61826666666667,21.430625,21.4,16.94333333333333,40.0,6.666666666666668,6.0976637700000005,10.0,6.0976637700000005,10.0908978447804,19.01,1.0
7.261713793999999,6.0,0.8200000000000001,33.0,73.249,33.0,25.9545,25.645,1.29,106.42,46.0,46.0,28.81778678551765,73.249,26.090000000000003,29.4,25.645,37.0,5.0,4.041206375,10.0,4.041206375,28.238801033907894,36.82,0.0
7.248401191666668,13.333333333333332,0.9633333333333334,55.33333333333333,132.62533333333334,55.33333333333333,26.26,24.36,1.1333333333333333,173.054,70.0,70.0,28.966574283383032,142.73250000000004,24.37,28.03333333333333,26.715,43.0,5.0,3.24401347,10.0,2.896873055,22.1596464827641,33.78,0.0
7.921136598333334,6.0,0.9233333333333332,18.666666666666668,41.66643333333333,18.666666666666668,26.60766666666667,36.26,0.5433333333333333,78.96,34.0,34.0,41.533575796260266,41.66643333333333,38.54,42.33333333333333,36.26,83.0,3.333333333333333,1.9282966966666668,10.0,1.9282966966666668,54.3038066032026,72.1,1.0
